ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,3P_O,3P_D,ADJ_T,WIN_PCT,CONF_ACC,CONF_AE,CONF_ASun,CONF_Amer,CONF_B10,CONF_B12,CONF_BE,CONF_BSky,CONF_BSth,CONF_BW,CONF_CAA,CONF_CUSA,CONF_GWC,CONF_Horz,CONF_Ind,CONF_Ivy,CONF_MAAC,CONF_MAC,CONF_MEAC,CONF_MVC,CONF_MWC,CONF_NEC,CONF_OVC,CONF_P12,CONF_Pat,CONF_SB,CONF_SC,CONF_SEC,CONF_SWAC,CONF_Slnd,CONF_Sum,CONF_WAC,CONF_WCC
120.9,90.4,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,41.3,32.5,70.1,0.8648648648648649,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121.5,94.5,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,40.4,35.6,71.4,0.8611111111111112,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109.6,93.7,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,34.1,33.0,66.5,0.6756756756756757,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
112.7,91.5,52.0,46.4,17.8,21.7,32.9,28.7,39.3,38.0,35.9,32.3,67.6,0.7297297297297297,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115.6,97.9,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,34.5,33.4,68.4,0.631578947368421,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117.5,86.9,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,36.0,33.5,66.7,0.8947368421052632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
118.4,96.2,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32.0,34.4,36.2,69.0,0.8108108108108109,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
116.6,88.9,51.6,45.8,16.9,21.0,32.1,29.5,40.2,34.0,35.9,30.5,70.2,0.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
118.3,91.3,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,35.3,30.6,73.7,0.8421052631578947,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
117.5,89.8,53.0,46.6,18.6,17.9,36.8,25.5,41.9,26.8,35.4,34.3,66.9,0.8108108108108109,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
120.2,93.1,57.9,44.2,16.1,17.1,33.9,28.0,38.7,30.5,40.0,33.0,65.2,0.918918918918919,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
123.4,89.9,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,36.3,30.4,72.0,0.8918918918918919,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
116.2,87.4,51.7,42.3,15.7,19.1,36.4,27.3,41.0,34.2,36.4,32.0,64.3,0.868421052631579,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
125.0,99.9,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,40.2,31.8,62.6,0.7567567567567568,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119.6,95.3,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,39.2,33.2,66.2,0.7631578947368421,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113.0,99.1,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43.0,37.7,33.2,65.4,0.7027027027027027,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113.6,89.4,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,35.6,32.4,65.3,0.7837837837837838,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118.4,91.5,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,39.9,29.0,67.8,0.8333333333333334,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113.0,93.2,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,29.6,32.3,64.6,0.7428571428571429,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115.7,85.7,55.2,43.3,17.8,22.5,34.2,28.4,31.0,29.9,37.8,31.0,62.8,0.7837837837837838,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
111.9,93.6,50.0,47.3,18.1,20.4,33.5,35.3,35.4,28.0,36.0,30.7,65.5,0.6216216216216216,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116.3,92.6,53.2,44.9,17.5,16.5,33.5,27.0,32.7,39.0,38.5,31.5,63.9,0.6923076923076923,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119.9,91.0,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,37.8,31.6,68.6,0.8205128205128205,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118.2,94.1,54.3,47.2,18.3,17.7,31.2,30.5,33.0,28.3,42.2,33.7,70.8,0.7837837837837838,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
122.1,96.4,57.5,49.1,16.6,18.2,29.4,31.2,27.0,24.6,40.1,33.3,69.9,0.7948717948717948,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110.5,95.4,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,39.8,32.0,66.4,0.8648648648648649,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
117.8,93.8,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,38.0,31.2,68.4,0.868421052631579,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
120.3,84.0,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,34.9,27.1,63.5,0.9743589743589745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
108.7,89.0,47.3,45.5,18.4,24.3,34.0,31.6,40.2,44.5,33.4,30.6,69.6,0.7222222222222222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
121.3,95.2,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,38.1,34.8,69.3,0.7692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
115.9,88.4,52.2,45.4,17.5,21.3,35.3,28.0,42.4,31.2,35.9,33.0,63.1,0.9230769230769232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
122.7,95.9,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,37.6,34.1,63.9,0.7894736842105263,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113.0,87.0,49.0,42.6,18.9,23.6,38.8,34.5,36.8,35.4,33.4,28.4,65.4,0.75,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110.6,91.0,50.0,45.3,19.4,20.0,38.0,26.5,36.5,38.3,33.9,32.2,65.0,0.7692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
107.0,111.7,51.2,51.7,18.3,16.0,31.7,33.3,32.5,33.8,36.2,38.5,67.6,0.3666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101.0,103.0,46.7,50.2,22.2,18.7,33.4,29.5,33.1,41.7,29.8,34.1,65.9,0.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101.2,103.8,45.5,50.0,21.9,18.5,35.9,30.4,41.1,44.7,31.6,35.3,65.0,0.2666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
